ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 07:40,0.99,2.77,0.58,1.74
2022-06-01 07:50,0.99,2.77,0.58,1.77
2022-06-01 08:00,0.99,2.77,0.58,1.77
2022-06-01 08:10,1.03,2.77,0.58,1.98
2022-06-01 08:20,1.03,2.77,0.58,1.98
2022-06-01 08:30,1.04,2.78,0.59,2.06
2022-06-01 08:40,1.01,2.79,0.68,2.13
2022-06-01 08:50,0.94,2.96,0.89,2.21
2022-06-01 09:00,1.01,2.97,0.93,2.23
2022-06-01 09:10,1.13,3.02,0.95,2.26
2022-06-01 09:20,1.29,3.06,1.0,2.3
2022-06-01 09:30,1.29,3.06,1.0,2.3
2022-06-01 09:40,1.52,3.24,1.07,2.33
2022-06-01 09:50,1.58,3.33,1.15,2.31
2022-06-01 10:00,1.64,3.39,1.22,2.27
2022-06-01 10:10,1.71,3.44,1.25,2.23
2022-06-01 10:20,1.74,3.48,1.28,2.19
2022-06-01 10:30,1.74,3.48,1.28,2.19
2022-06-01 10:40,1.79,3.51,1.28,2.15
2022-06-01 10:50,1.79,3.51,1.28,2.15
2022-06-01 11:00,1.76,3.45,1.22,2.18
2022-06-01 11:10,1.69,3.4,1.18,2.21
2022-06-01 11:20,1.62,3.34,1.13,2.24
2022-06-01 11:30,1.56,3.29,1.11,2.22
2022-06-01 11:40,1.47,3.26,1.1,2.22
2022-06-01 11:50,1.47,3.26,1.1,2.22
2022-06-01 12:00,1.38,3.21,1.06,2.21
2022-06-01 12:10,1.41,3.23,1.08,2.21
2022-06-01 12:20,1.38,3.14,0.98,2.17
2022-06-01 12:30,1.37,3.13,0.95,2.14
2022-06-01 12:40,1.37,3.13,0.94,2.11
2022-06-01 12:50,1.34,3.13,0.93,2.07
2022-06-01 13:00,1.34,3.12,0.93,2.03
2022-06-01 13:10,1.32,3.09,0.92,2.0
2022-06-01 13:20,1.32,3.08,0.89,1.97
2022-06-01 13:30,1.29,3.06,0.87,1.96
2022-06-01 13:40,1.29,3.06,0.87,1.96
2022-06-01 13:50,1.26,3.02,0.83,1.96
2022-06-01 14:00,1.26,3.02,0.83,1.96
2022-06-01 14:10,1.22,2.98,0.8,1.96
2022-06-01 14:20,1.19,2.96,0.78,1.97
2022-06-01 14:30,1.17,2.94,0.77,1.97
2022-06-01 14:40,1.14,2.93,0.75,1.96
2022-06-01 14:50,1.13,2.91,0.78,1.94
2022-06-01 15:00,1.13,2.93,0.76,1.93
2022-06-01 15:10,1.13,2.93,0.76,1.92
2022-06-01 15:20,1.15,2.92,0.75,1.9
2022-06-01 15:30,1.14,2.92,0.73,1.89
2022-06-01 15:40,1.14,2.92,0.73,1.89
2022-06-01 15:50,1.17,2.91,0.73,1.87
2022-06-01 16:00,1.13,2.92,0.73,1.85
2022-06-01 16:10,1.13,2.92,0.73,1.84
2022-06-01 16:20,1.13,2.92,0.73,1.84
2022-06-01 16:30,1.12,2.9,0.72,1.84
2022-06-01 16:40,1.11,2.88,0.7,1.83
2022-06-01 16:50,1.08,2.87,0.69,1.84
2022-06-01 17:00,1.08,2.86,0.68,1.85
2022-06-01 17:10,1.07,2.85,0.68,1.84
2022-06-01 17:20,1.05,2.85,0.66,1.83
2022-06-01 17:30,1.05,2.84,0.66,1.82
2022-06-01 17:40,1.05,2.84,0.67,1.81
2022-06-01 17:50,1.05,2.84,0.67,1.81
2022-06-01 18:00,1.05,2.84,0.65,1.8
2022-06-01 18:10,1.05,2.84,0.65,1.8
2022-06-01 18:20,1.06,2.83,0.65,1.79
2022-06-01 18:30,1.06,2.83,0.64,1.78
2022-06-01 18:40,1.05,2.82,0.63,1.78
2022-06-01 18:50,1.04,2.82,0.63,1.77
2022-06-01 19:00,1.04,2.82,0.63,1.77
2022-06-01 19:10,1.02,2.81,0.63,1.77
2022-06-01 19:20,1.01,2.8,0.62,1.77
2022-06-01 19:30,1.01,2.8,0.61,1.77
2022-06-01 19:40,1.01,2.8,0.61,1.77
2022-06-01 19:50,1.0,2.78,0.61,1.77
2022-06-01 20:00,1.0,2.78,0.61,1.77
2022-06-01 20:10,1.0,2.78,0.6,1.76
2022-06-01 20:20,0.99,2.78,0.6,1.76
2022-06-01 20:30,0.99,2.77,0.6,1.76
2022-06-01 20:40,0.99,2.77,0.6,1.82
2022-06-01 20:50,0.99,2.77,0.59,1.86
2022-06-01 21:00,0.99,2.77,0.59,1.86
2022-06-01 21:10,1.0,2.77,0.6,1.89
2022-06-01 21:20,1.0,2.77,0.6,1.89
2022-06-01 21:30,0.99,2.85,0.71,1.9
2022-06-01 21:40,1.02,2.87,0.73,1.9
2022-06-01 21:50,1.09,2.9,0.74,1.9
2022-06-01 22:00,1.17,2.9,0.75,1.88
2022-06-01 22:10,1.22,2.91,0.76,1.86
2022-06-01 22:20,1.25,2.98,0.76,1.82
2022-06-01 22:30,1.26,3.01,0.8,1.78
2022-06-01 22:40,1.26,3.01,0.8,1.78
2022-06-01 22:50,1.27,3.01,0.8,1.78
2022-06-01 23:00,1.25,2.99,0.75,1.79
2022-06-01 23:10,1.25,2.99,0.75,1.79
2022-06-01 23:20,1.18,2.94,0.74,1.82
2022-06-01 23:30,1.12,2.9,0.73,1.91
2022-06-01 23:40,1.07,2.88,0.71,1.92
2022-06-01 23:50,1.07,2.88,0.71,1.92
2022-06-02 00:00,1.04,2.87,0.7,1.93
2022-06-02 00:10,1.03,2.85,0.7,1.93
2022-06-02 00:20,1.03,2.84,0.69,1.92
2022-06-02 00:30,1.05,2.84,0.68,1.91
2022-06-02 00:40,1.05,2.84,0.68,1.91
2022-06-02 00:50,1.1,2.84,0.68,1.86
2022-06-02 01:00,1.11,2.84,0.68,1.84
2022-06-02 01:10,1.11,2.86,0.68,1.81
2022-06-02 01:20,1.11,2.86,0.68,1.81
2022-06-02 01:30,1.11,2.86,0.68,1.8
2022-06-02 01:40,1.11,2.86,0.68,1.8
2022-06-02 01:50,1.08,2.85,0.66,1.8
2022-06-02 02:00,1.1,2.86,0.68,1.8
2022-06-02 02:10,1.05,2.82,0.65,1.83
2022-06-02 02:20,1.03,2.81,0.64,1.84
2022-06-02 02:30,1.01,2.81,0.64,1.84
2022-06-02 02:40,1.0,2.8,0.63,1.84
2022-06-02 02:50,1.0,2.8,0.63,1.84
2022-06-02 03:00,1.0,2.79,0.62,1.82
2022-06-02 03:10,1.0,2.79,0.62,1.82
2022-06-02 03:20,1.0,2.79,0.62,1.82
2022-06-02 03:30,1.0,2.79,0.62,1.82
2022-06-02 03:40,1.01,2.79,0.62,1.8
2022-06-02 03:50,1.03,2.79,0.61,1.78
2022-06-02 04:00,1.03,2.79,0.61,1.77
2022-06-02 04:10,1.02,2.79,0.61,1.77
2022-06-02 04:20,1.02,2.79,0.61,1.77
2022-06-02 04:30,1.01,2.78,0.61,1.77
2022-06-02 04:40,1.0,2.77,0.6,1.77
2022-06-02 04:50,0.99,2.77,0.59,1.77
2022-06-02 05:00,0.98,2.77,0.59,1.78
2022-06-02 05:10,0.97,2.77,0.59,1.78
2022-06-02 05:20,0.96,2.77,0.58,1.78
2022-06-02 05:30,0.96,2.77,0.58,1.77
2022-06-02 05:40,0.96,2.77,0.58,1.77
2022-06-02 05:50,0.96,2.77,0.58,1.77
2022-06-02 06:00,0.96,2.77,0.57,1.76
2022-06-02 06:10,0.96,2.77,0.57,1.75
2022-06-02 06:20,0.97,2.77,0.57,1.74
2022-06-02 06:30,0.97,2.77,0.57,1.74
2022-06-02 06:40,0.97,2.77,0.57,1.74
2022-06-02 06:50,0.96,2.77,0.56,1.72
2022-06-02 07:00,0.96,2.77,0.56,1.72
2022-06-02 07:10,0.95,2.77,0.56,1.72
2022-06-02 07:20,0.95,2.77,0.55,1.72
2022-06-02 07:30,0.94,2.77,0.55,1.72
2022-06-02 07:40,0.95,2.77,0.54,1.73
2022-06-02 07:50,0.95,2.77,0.54,1.73
2022-06-02 08:00,0.94,2.76,0.54,1.73
2022-06-02 08:10,0.93,2.76,0.54,1.72
2022-06-02 08:20,1.03,2.76,0.54,1.71
2022-06-02 08:30,1.03,2.76,0.54,1.71
2022-06-02 08:40,1.05,2.77,0.55,1.85
2022-06-02 08:50,1.05,2.79,0.6,1.92
2022-06-02 09:00,1.03,2.79,0.61,1.98
2022-06-02 09:10,1.03,2.79,0.71,2.01
2022-06-02 09:20,1.02,2.88,0.79,2.06
2022-06-02 09:30,1.02,2.96,0.84,2.12
2022-06-02 09:40,1.11,3.01,0.89,2.18
2022-06-02 09:50,1.22,3.06,0.93,2.23
2022-06-02 10:00,1.33,3.09,0.98,2.25
2022-06-02 10:10,1.33,3.09,0.98,2.25
2022-06-02 10:20,1.37,3.17,1.01,2.26
2022-06-02 10:30,1.52,3.29,1.13,2.24
2022-06-02 10:40,1.58,3.33,1.17,2.22
2022-06-02 10:50,1.63,3.39,1.19,2.18
2022-06-02 11:00,1.68,3.4,1.21,2.14
2022-06-02 11:10,1.7,3.42,1.21,2.11
2022-06-02 11:20,1.71,3.42,1.2,2.08
2022-06-02 11:30,1.68,3.41,1.18,2.09
2022-06-02 11:40,1.68,3.41,1.18,2.09
2022-06-02 11:50,1.61,3.31,1.1,2.13
2022-06-02 12:00,1.53,3.25,1.07,2.15
2022-06-02 12:10,1.45,3.22,1.04,2.16
2022-06-02 12:20,1.39,3.18,1.01,2.17
2022-06-02 12:30,1.39,3.18,1.01,2.17
2022-06-02 12:40,1.29,3.12,0.97,2.15
2022-06-02 12:50,1.29,3.12,0.97,2.15
2022-06-02 13:00,1.28,3.1,0.94,2.13
2022-06-02 13:10,1.27,3.06,0.9,2.08
2022-06-02 13:20,1.27,3.06,0.88,2.05
2022-06-02 13:30,1.27,3.06,0.88,2.05
2022-06-02 13:40,1.27,3.04,0.85,1.98
2022-06-02 13:50,1.26,3.03,0.83,1.94
2022-06-02 14:00,1.26,3.03,0.83,1.94
2022-06-02 14:10,1.24,3.01,0.82,1.92
2022-06-02 14:20,1.23,3.0,0.79,1.9
2022-06-02 14:30,1.23,3.0,0.79,1.9
2022-06-02 14:40,1.21,2.95,0.77,1.88
2022-06-02 14:50,1.16,2.93,0.74,1.87
2022-06-02 15:00,1.12,2.92,0.73,1.86
2022-06-02 15:10,1.1,2.9,0.72,1.87
2022-06-02 15:20,1.08,2.88,0.71,1.89
2022-06-02 15:30,1.07,2.86,0.69,1.89
2022-06-02 15:40,1.07,2.86,0.69,1.89
2022-06-02 15:50,1.04,2.84,0.69,1.88
2022-06-02 16:00,1.05,2.86,0.7,1.87
2022-06-02 16:10,1.05,2.86,0.69,1.85
2022-06-02 16:20,1.07,2.86,0.68,1.83
2022-06-02 16:30,1.07,2.86,0.68,1.81
2022-06-02 16:40,1.1,2.86,0.68,1.8
2022-06-02 16:50,1.1,2.85,0.67,1.79
2022-06-02 17:00,1.1,2.86,0.66,1.79
2022-06-02 17:10,1.07,2.86,0.67,1.78
2022-06-02 17:20,1.08,2.85,0.67,1.78
2022-06-02 17:30,1.05,2.84,0.66,1.77
2022-06-02 17:40,1.05,2.84,0.66,1.77
2022-06-02 17:50,1.02,2.83,0.65,1.77
2022-06-02 18:00,1.01,2.81,0.63,1.8
2022-06-02 18:10,1.01,2.8,0.63,1.8
2022-06-02 18:20,1.01,2.8,0.63,1.8
2022-06-02 18:30,1.01,2.79,0.61,1.79
2022-06-02 18:40,1.0,2.79,0.61,1.79
2022-06-02 18:50,1.0,2.78,0.61,1.76
2022-06-02 19:00,0.99,2.78,0.61,1.76
2022-06-02 19:10,1.01,2.78,0.61,1.75
2022-06-02 19:20,1.01,2.78,0.6,1.74
2022-06-02 19:30,1.01,2.78,0.6,1.74
2022-06-02 19:40,1.01,2.78,0.59,1.73
2022-06-02 19:50,1.0,2.78,0.59,1.73
2022-06-02 20:00,0.99,2.78,0.59,1.73
2022-06-02 20:10,0.99,2.77,0.59,1.73
2022-06-02 20:20,0.97,2.77,0.58,1.73
2022-06-02 20:30,0.97,2.77,0.58,1.73
2022-06-02 20:40,0.95,2.77,0.58,1.73
2022-06-02 20:50,0.95,2.77,0.58,1.73
2022-06-02 21:00,0.95,2.77,0.58,1.73
2022-06-02 21:10,0.96,2.77,0.57,1.73
2022-06-02 21:20,0.95,2.77,0.57,1.76
2022-06-02 21:30,0.95,2.77,0.57,1.76
2022-06-02 21:40,0.94,2.77,0.56,1.82
2022-06-02 21:50,0.95,2.77,0.56,1.83
2022-06-02 22:00,0.96,2.77,0.61,1.84
2022-06-02 22:10,0.95,2.79,0.64,1.84
2022-06-02 22:20,0.95,2.79,0.64,1.84
2022-06-02 22:30,1.0,2.83,0.67,1.82
2022-06-02 22:40,0.95,2.82,0.66,1.84
2022-06-02 22:50,1.12,2.85,0.68,1.77
2022-06-02 23:00,1.15,2.87,0.68,1.75
2022-06-02 23:10,1.07,2.84,0.68,1.8
2022-06-02 23:20,1.07,2.84,0.68,1.8
2022-06-02 23:30,1.16,2.9,0.68,1.76
2022-06-02 23:40,1.15,2.86,0.66,1.76
2022-06-02 23:50,1.15,2.86,0.66,1.76
2022-06-03 00:00,1.06,2.83,0.66,1.78
2022-06-03 00:10,1.01,2.83,0.65,1.81
2022-06-03 00:20,0.98,2.81,0.65,1.83
2022-06-03 00:30,0.96,2.8,0.64,1.83
2022-06-03 00:40,0.97,2.77,0.62,1.84
2022-06-03 00:50,0.98,2.77,0.62,1.83
2022-06-03 01:00,0.99,2.77,0.62,1.83
2022-06-03 01:10,0.99,2.79,0.62,1.81
2022-06-03 01:20,1.01,2.79,0.62,1.79
2022-06-03 01:30,1.01,2.79,0.62,1.79
2022-06-03 01:40,1.03,2.79,0.62,1.77
2022-06-03 01:50,1.05,2.8,0.62,1.73
2022-06-03 02:00,1.06,2.8,0.62,1.73
2022-06-03 02:10,1.05,2.8,0.62,1.73
2022-06-03 02:20,1.04,2.8,0.62,1.74
2022-06-03 02:30,1.03,2.79,0.61,1.74
2022-06-03 02:40,1.01,2.78,0.61,1.75
2022-06-03 02:50,0.99,2.77,0.6,1.76
2022-06-03 03:00,0.96,2.77,0.6,1.77
2022-06-03 03:10,0.96,2.77,0.59,1.78
2022-06-03 03:20,0.96,2.77,0.58,1.78
2022-06-03 03:30,0.97,2.77,0.58,1.78
2022-06-03 03:40,0.97,2.77,0.58,1.78
2022-06-03 03:50,0.97,2.77,0.58,1.77
2022-06-03 04:00,0.97,2.77,0.58,1.77
2022-06-03 04:10,0.99,2.77,0.58,1.76
2022-06-03 04:20,0.99,2.77,0.58,1.74
2022-06-03 04:30,0.99,2.77,0.57,1.74
2022-06-03 04:40,0.99,2.77,0.57,1.73
2022-06-03 04:50,0.99,2.77,0.57,1.73
2022-06-03 05:00,0.99,2.77,0.57,1.73
2022-06-03 05:10,0.94,2.77,0.57,1.74
2022-06-03 05:20,0.94,2.77,0.57,1.74
2022-06-03 05:30,0.93,2.77,0.56,1.74
2022-06-03 05:40,0.93,2.77,0.56,1.74
2022-06-03 05:50,0.92,2.77,0.56,1.75
2022-06-03 06:00,0.92,2.77,0.56,1.75
2022-06-03 06:10,0.92,2.77,0.55,1.74
2022-06-03 06:20,0.92,2.76,0.55,1.74
2022-06-03 06:30,0.92,2.76,0.55,1.73
2022-06-03 06:40,0.93,2.76,0.54,1.73
2022-06-03 06:50,0.92,2.76,0.54,1.73
2022-06-03 07:00,0.92,2.76,0.54,1.73
2022-06-03 07:10,0.93,2.76,0.54,1.72
2022-06-03 07:20,0.94,2.76,0.54,1.71
2022-06-03 07:30,0.94,2.76,0.54,1.7
2022-06-03 07:40,0.92,2.76,0.53,1.7
2022-06-03 07:50,0.92,2.75,0.53,1.69
2022-06-03 08:00,0.92,2.75,0.53,1.7
2022-06-03 08:10,0.92,2.75,0.53,1.71
2022-06-03 08:20,1.0,2.75,0.53,1.71
2022-06-03 08:30,1.01,2.75,0.52,1.7
2022-06-03 08:40,1.01,2.75,0.55,1.7
2022-06-03 08:50,1.02,2.77,0.59,1.7
2022-06-03 09:00,1.03,2.77,0.59,1.71
2022-06-03 09:10,1.03,2.77,0.6,1.79
2022-06-03 09:20,1.03,2.77,0.6,1.79
2022-06-03 09:30,1.03,2.77,0.6,1.96
2022-06-03 09:40,1.03,2.77,0.6,1.96
2022-06-03 09:50,1.03,2.77,0.61,2.05
2022-06-03 10:00,0.94,2.9,0.79,2.15
2022-06-03 10:10,0.95,2.94,0.86,2.17
2022-06-03 10:20,1.04,2.94,0.9,2.19
2022-06-03 10:30,1.16,2.99,0.91,2.21
2022-06-03 10:40,1.28,3.02,0.94,2.22
2022-06-03 10:50,1.28,3.02,0.94,2.22
2022-06-03 11:00,1.39,3.1,0.96,2.23
2022-06-03 11:10,1.48,3.19,1.02,2.22
2022-06-03 11:20,1.54,3.26,1.07,2.18
2022-06-03 11:30,1.63,3.35,1.15,2.07
2022-06-03 11:40,1.65,3.37,1.17,2.03
2022-06-03 11:50,1.66,3.37,1.16,2.0
2022-06-03 12:00,1.65,3.36,1.13,2.01
2022-06-03 12:10,1.63,3.31,1.08,2.07
2022-06-03 12:20,1.58,3.26,1.05,2.11
2022-06-03 12:30,1.58,3.26,1.05,2.11
2022-06-03 12:40,1.58,3.26,1.05,2.11
2022-06-03 12:50,1.36,3.13,0.98,2.17
2022-06-03 13:00,1.3,3.12,0.98,2.17
2022-06-03 13:10,1.26,3.11,0.95,2.17
2022-06-03 13:20,1.26,3.11,0.95,2.17
2022-06-03 13:30,1.28,3.08,0.92,2.14
2022-06-03 13:40,1.3,3.07,0.89,2.13
2022-06-03 13:50,1.31,3.06,0.88,2.1
2022-06-03 14:00,1.34,3.06,0.88,2.06
2022-06-03 14:10,1.34,3.06,0.88,2.06
2022-06-03 14:20,1.34,3.07,0.89,2.04
2022-06-03 14:30,1.32,3.08,0.88,1.97
2022-06-03 14:40,1.31,3.07,0.88,1.95
2022-06-03 14:50,1.31,3.07,0.88,1.95
2022-06-03 15:00,1.3,3.05,0.86,1.95
2022-06-03 15:10,1.27,3.03,0.85,1.96
2022-06-03 15:20,1.23,3.01,0.82,1.98
2022-06-03 15:30,1.23,3.01,0.82,1.98
2022-06-03 15:40,1.21,2.99,0.81,1.98
2022-06-03 15:50,1.19,2.97,0.8,1.97
2022-06-03 16:00,1.18,2.97,0.79,1.96
2022-06-03 16:10,1.17,2.96,0.78,1.95
2022-06-03 16:20,1.17,2.96,0.78,1.93
2022-06-03 16:30,1.18,2.96,0.78,1.92
2022-06-03 16:40,1.18,2.96,0.78,1.92
2022-06-03 16:50,1.16,2.95,0.76,1.9
2022-06-03 17:00,1.15,2.95,0.76,1.89
2022-06-03 17:10,1.15,2.95,0.76,1.89
2022-06-03 17:20,1.14,2.92,0.74,1.88
2022-06-03 17:30,1.13,2.91,0.73,1.87
2022-06-03 17:40,1.13,2.91,0.72,1.87
2022-06-03 17:50,1.13,2.91,0.72,1.87
2022-06-03 18:00,1.1,2.89,0.71,1.86
2022-06-03 18:10,1.09,2.89,0.7,1.85
2022-06-03 18:20,1.09,2.88,0.7,1.84
2022-06-03 18:30,1.09,2.87,0.69,1.83
2022-06-03 18:40,1.08,2.87,0.69,1.83
2022-06-03 18:50,1.08,2.87,0.69,1.83
2022-06-03 19:00,1.07,2.86,0.67,1.82
2022-06-03 19:10,1.07,2.85,0.67,1.81
2022-06-03 19:20,1.07,2.85,0.67,1.81
2022-06-03 19:30,1.06,2.84,0.66,1.8
2022-06-03 19:40,1.06,2.84,0.66,1.8
2022-06-03 19:50,1.04,2.83,0.65,1.8
2022-06-03 20:00,1.03,2.81,0.65,1.8
2022-06-03 20:10,1.03,2.81,0.64,1.8
2022-06-03 20:20,1.02,2.81,0.63,1.8
2022-06-03 20:30,1.01,2.8,0.62,1.8
2022-06-03 20:40,1.01,2.8,0.62,1.8
2022-06-03 20:50,1.0,2.8,0.62,1.78
2022-06-03 21:00,1.0,2.79,0.62,1.77
2022-06-03 21:10,0.99,2.79,0.61,1.77
2022-06-03 21:20,0.99,2.79,0.61,1.77
2022-06-03 21:30,0.98,2.78,0.61,1.76
2022-06-03 21:40,0.99,2.78,0.6,1.76
2022-06-03 21:50,0.99,2.77,0.6,1.76
2022-06-03 22:00,0.99,2.77,0.6,1.79
2022-06-03 22:10,0.99,2.77,0.59,1.83
2022-06-03 22:20,0.99,2.77,0.59,1.85
2022-06-03 22:30,0.99,2.77,0.59,1.85
2022-06-03 22:40,0.98,2.77,0.62,1.86
2022-06-03 22:50,0.98,2.8,0.65,1.86
2022-06-03 23:00,0.98,2.8,0.65,1.86
2022-06-03 23:10,1.03,2.84,0.68,1.81
2022-06-03 23:20,1.08,2.85,0.69,1.76
2022-06-03 23:30,1.14,2.85,0.69,1.74
2022-06-03 23:40,1.17,2.87,0.67,1.74
2022-06-03 23:50,1.19,2.89,0.66,1.74
2022-06-04 00:00,1.19,2.89,0.66,1.74
2022-06-04 00:10,1.16,2.85,0.65,1.75
2022-06-04 00:20,1.16,2.85,0.65,1.75
2022-06-04 00:30,1.06,2.83,0.65,1.75
2022-06-04 00:40,1.06,2.83,0.65,1.75
2022-06-04 00:50,1.0,2.83,0.65,1.78
2022-06-04 01:00,0.96,2.78,0.63,1.84
2022-06-04 01:10,0.96,2.77,0.6,1.85
2022-06-04 01:20,0.96,2.77,0.59,1.85
2022-06-04 01:30,0.98,2.77,0.59,1.85
2022-06-04 01:40,0.98,2.77,0.6,1.83
2022-06-04 01:50,0.99,2.77,0.6,1.81
2022-06-04 02:00,1.01,2.78,0.6,1.77
2022-06-04 02:10,1.02,2.78,0.61,1.75
2022-06-04 02:20,1.04,2.78,0.61,1.74
2022-06-04 02:30,1.05,2.78,0.61,1.74
2022-06-04 02:40,1.05,2.78,0.61,1.74
2022-06-04 02:50,1.04,2.79,0.6,1.74
2022-06-04 03:00,1.04,2.79,0.6,1.74
2022-06-04 03:10,1.0,2.77,0.6,1.74
2022-06-04 03:20,0.97,2.77,0.6,1.75
2022-06-04 03:30,0.96,2.77,0.59,1.75
2022-06-04 03:40,0.96,2.77,0.59,1.75
2022-06-04 03:50,0.94,2.77,0.58,1.77
2022-06-04 04:00,0.94,2.77,0.57,1.76
2022-06-04 04:10,0.95,2.77,0.57,1.76
2022-06-04 04:20,0.95,2.77,0.57,1.76
2022-06-04 04:30,0.96,2.77,0.57,1.75
2022-06-04 04:40,0.96,2.77,0.57,1.75
2022-06-04 04:50,0.97,2.77,0.57,1.73
2022-06-04 05:00,0.97,2.77,0.57,1.72
2022-06-04 05:10,0.97,2.77,0.57,1.72
2022-06-04 05:20,0.97,2.77,0.57,1.72
2022-06-04 05:30,0.96,2.77,0.56,1.72
2022-06-04 05:40,0.95,2.77,0.56,1.72
2022-06-04 05:50,0.95,2.77,0.55,1.73
2022-06-04 06:00,0.93,2.77,0.55,1.73
2022-06-04 06:10,0.92,2.77,0.55,1.73
2022-06-04 06:20,0.92,2.77,0.55,1.73
2022-06-04 06:30,0.92,2.76,0.54,1.73
2022-06-04 06:40,0.92,2.76,0.54,1.73
2022-06-04 06:50,0.92,2.76,0.54,1.73
2022-06-04 07:00,0.92,2.76,0.53,1.73
2022-06-04 07:10,0.92,2.76,0.53,1.72
2022-06-04 07:20,0.92,2.76,0.53,1.72
2022-06-04 07:30,0.92,2.76,0.53,1.71
2022-06-04 07:40,0.92,2.76,0.53,1.71
2022-06-04 07:50,0.93,2.75,0.53,1.7
2022-06-04 08:00,0.92,2.75,0.53,1.7
2022-06-04 08:10,1.01,2.75,0.53,1.7
2022-06-04 08:20,1.03,2.75,0.53,1.7
2022-06-04 08:30,1.02,2.75,0.52,1.7
2022-06-04 08:40,1.02,2.76,0.59,1.69
2022-06-04 08:50,1.02,2.76,0.59,1.69
2022-06-04 09:00,0.97,2.77,0.6,1.68
2022-06-04 09:10,0.97,2.77,0.6,1.68
2022-06-04 09:20,0.97,2.77,0.59,1.68
2022-06-04 09:30,0.96,2.77,0.56,1.76
2022-06-04 09:40,0.96,2.77,0.56,1.83
2022-06-04 09:50,0.91,2.77,0.55,1.93
2022-06-04 10:00,0.9,2.77,0.56,1.99
2022-06-04 10:10,0.9,2.77,0.57,2.01
2022-06-04 10:20,0.9,2.77,0.57,2.01
2022-06-04 10:30,0.91,2.79,0.7,2.04
2022-06-04 10:40,0.93,2.85,0.75,2.06
2022-06-04 10:50,1.04,2.89,0.8,2.08
2022-06-04 11:00,1.04,2.89,0.8,2.08
2022-06-04 11:10,1.13,2.93,0.82,2.08
2022-06-04 11:20,1.33,3.02,0.88,2.05
2022-06-04 11:30,1.38,3.12,0.92,2.05
2022-06-04 11:40,1.42,3.17,0.99,2.04
2022-06-04 11:50,1.48,3.2,1.01,2.02
2022-06-04 12:00,1.51,3.22,1.03,2.0
2022-06-04 12:10,1.52,3.25,1.04,1.97
2022-06-04 12:20,1.52,3.25,1.04,1.96
2022-06-04 12:30,1.5,3.24,1.03,1.97
2022-06-04 12:40,1.48,3.21,1.0,2.01
2022-06-04 12:50,1.45,3.17,0.96,2.03
2022-06-04 13:00,1.41,3.12,0.92,2.06
2022-06-04 13:10,1.34,3.08,0.91,2.08
2022-06-04 13:20,1.29,3.07,0.91,2.09
2022-06-04 13:30,1.29,3.07,0.91,2.09
2022-06-04 13:40,1.24,3.06,0.9,2.09
2022-06-04 13:50,1.21,3.05,0.89,2.08
